MGI Allele ID	Allele Symbol	Allele Name	Chromosome	Synonyms	Allele Type	Allele Attributes	Transmission	Abnormal Phenotypes Reported in these Systems	Human Disease Models	
MGI:4973916	Adgrl3<Gt(S17-5H1)Sor>	gene trap S17-5H1, Philippe Soriano	5		Gene trapped	Null/knockout, Reporter	Germline	behavior | homeostasis | nervous system	attention deficit hyperactivity disorder DOID:1094	
MGI:2181436	Camk4<tm1Gsc>	targeted mutation 1, Gunther Schutz	18	CamkIV<loxP>	Targeted	Conditional ready, No functional change	Germline	behavior		
MGI:4442323	Chrm4<tm2.1Jwe>	targeted mutation 2.1, Jurgen Wess	2		Targeted	Conditional ready, No functional change	Germline	behavior | homeostasis | nervous system		
MGI:1861634	Clock<m1Jt>	Clock	5	Ck | Clock<delta19> | Clock<mut>	Chemically induced (ENU)	 	 	adipose | behavior | cardiovascular | cellular | digestive/alimentary | endocrine/exocrine | growth/size/body | homeostasis | integument | liver/biliary | nervous system | reproductive	bipolar disorder DOID:3312 | diabetes mellitus DOID:9351 | sleep disorder DOID:535	
MGI:5527294	Cyfip2<M1N>	mutation 1, National Institutes of Health	11	Cyfip2<6N> | Cyfip2<B6N> | Cyfip2<N>	Spontaneous	 	 	behavior | nervous system		
MGI:4434196	Cyfip2<tm1a(EUCOMM)Wtsi>	targeted mutation 1a, Wellcome Trust Sanger Institute	11		Targeted	Conditional ready, Null/knockout, Reporter	Germline	behavior | cardiovascular | homeostasis | integument | mortality/aging | nervous system | renal/urinary		
MGI:3848928	Dlg4<tm2.1Grnt>	targeted mutation 2.1, Seth G N Grant	11	PSD-95<GK>	Targeted	Null/knockout	Germline	behavior | homeostasis | nervous system	autism spectrum disorder DOID:0060041 | Williams-Beuren syndrome DOID:1928	
MGI:5292350	Drd2<tm1.1Mrub>	targeted mutation 1.1, Marcelo Rubinstein	9	Drd2<loxP>	Targeted	Conditional ready, No functional change	Germline	behavior | endocrine/exocrine | growth/size/body | homeostasis | nervous system | renal/urinary		
MGI:5431831	Drd2<tm3.1Ebo>	targeted mutation 3.1, Emiliana Borrelli	9	D2R<flox>	Targeted	Conditional ready, No functional change	Germline	behavior | homeostasis | nervous system		
MGI:2178631	Drd4<tm1Dkg>	targeted mutation 1, David K Grandy	7	D4<-> | D4KO | D4R - | Drd4<->	Targeted	Null/knockout	Germline	behavior | homeostasis | nervous system | vision/eye		
MGI:2446434	En1<tm2(cre)Wrst>	targeted mutation 2, Wolfgang Wurst	1	En1<Cki> | En1<Cre> | En1-Cre | En1<tm6(cre)Alj>	Targeted	Null/knockout, Recombinase	Germline	nervous system		
MGI:2447341	Gnaz<tm1Lfb>	targeted mutation 1, Lawrence F Brass	10	Gz alpha(-)	Targeted	Null/knockout, Reporter	Germline	behavior | hematopoietic | homeostasis | integument		
MGI:2661089	Grk6<tm1.1Mca>	targeted mutation 1.1, Marc G Caron	13	GRK6- | GRK6 KO | GRK6-KO	Targeted	Null/knockout	Germline	behavior | hematopoietic | homeostasis | immune | renal/urinary		
MGI:5498673	hipr	highper	UN		Chemically induced (ENU)	 	 	behavior | homeostasis		
MGI:3526529	Homer1<tm1Mhd>	targeted mutation 1, Marlin H Dehoff	13	H1ko	Targeted	Null/knockout	Germline	behavior | endocrine/exocrine | nervous system		
MGI:3526530	Homer2<tm1Mhd>	targeted mutation 1, Marlin H Dehoff	7	H2ko	Targeted	Null/knockout	Germline	behavior | endocrine/exocrine | nervous system		
